Sampl,LogLik
0,19585.443830992197
1024,4074.772585475353
2048,21812.56077682242
3072,12674.803887604565
4096,13317.575441704597
5120,11779.153791031415
6144,20860.648929068007
7168,17420.284098038275
8192,8212.23120816836
9216,14872.57603494613
10240,5423.4133037332085
11264,12580.620401086755
12288,15263.091143015501
13312,21499.893291536275
14336,24968.077409059166
15360,5434.025839214519
16384,647.0262431550168
17408,142.07829620048824
18432,32.72771188767365
19456,9457.673202636823
20480,19749.574866952145
21504,18855.533418843243
22528,21982.98361623006
23552,9502.463744264545
24576,2115.443068153851
25600,982.8852172284437
26624,41.192601878082314
27648,18098.261593423398
28672,15899.50737969459
29696,14264.48367630337
30720,22873.216385364674
31744,5228.174078336422
32768,12851.677861105762
33792,10007.4820763338
34816,1288.1787139926023
35840,1086.1181982955845
36864,1187.8294757912995
37888,408.21307469500425
38912,17102.693298384005
39936,18816.856657282904
40960,14305.557198290593
41984,16623.304518894536
43008,14982.944223824663
44032,34024.991157160825
45056,11339.52355256012
46080,21275.26400644872
47104,6507.746012857375
48128,14676.185584262234
49152,24437.684801393123
50176,20916.53776638593
51200,19424.54585493857
52224,18703.670955579095
53248,2650.7996037174807
54272,1047.8270103326126
55296,1126.7224073405268
56320,2542.1113779025704
57344,-219.1122055212163
58368,23623.93359968393
59392,16651.307050553223
60416,19969.002405163028
61440,17322.47842650852
62464,11914.995936325111
63488,10677.591358404206
64512,5370.955955800211
65536,2000.6553359557397
66560,277.9886229732124
67584,1860.8702367366068
68608,-2.2858688251490094
69632,-328.15706348467575
70656,3757.9756127775054
71680,12507.628436976374
72704,13137.680556753607
73728,10150.6019520725
74752,9811.39287899441
75776,6352.87408208494
76800,5212.098306023185
77824,694.2055386536931
78848,6329.470513117634
79872,12968.893202947624
80896,17786.324241280265
81920,21310.398433834253
82944,19016.286150857773
83968,21738.509420052804
84992,15808.97737969278
86016,18748.888026270874
87040,12548.52575171211
88064,6714.455171699065
89088,2605.3385355820733
90112,-323.547310594854
91136,-307.90102971663464
92160,-327.2730926305476
93184,2137.273752391073
94208,5145.576481081346
95232,8362.523997104025
96256,5785.842046146468
97280,7849.187187166945
98304,24374.697527409695
99328,21476.02581919369
100352,16316.604514609568
101376,17265.90922215155
102400,15185.932971245433
103424,29111.500593206154
104448,21233.67329069835
105472,22228.04197088116
106496,21874.98103391859
107520,13560.61473936228
108544,18247.714698170363
109568,12790.395786886122
110592,6893.485270239695
111616,554.5874313011968
112640,143.5458811022927
113664,1073.088945005732
114688,14283.427294723631
115712,22350.02328414426
116736,11073.661241920363
117760,14701.954108320915
118784,7780.197597095702
119808,9061.281582076896
120832,6786.377457120934
121856,7802.829041372914
122880,18114.327035788592
123904,12518.088361671704
124928,22175.420781011282
125952,10341.240100074327
126976,8640.546252554215
128000,7105.677341129963
129024,11089.6572658696
130048,8773.753884230711
131072,17248.243118015078
132096,-210.78313030060963
133120,-297.1619059794348
134144,10077.86290885948
135168,18901.465634269913
136192,19561.943151516312
137216,18952.530886924033
138240,13174.841928299635
139264,19956.865260644012
140288,9019.714168434772
141312,12678.62078796082
142336,10516.111459099884
143360,12978.133462812491
144384,21997.038526198332
145408,11257.377232418052
146432,5226.355082398848
147456,25801.808088921127
148480,14752.815539414143
149504,17431.72755954018
150528,17428.47183256766
151552,10429.668985835724
152576,8583.389534602986
153600,18031.369130806343
154624,17252.1095717957
155648,17636.75952200311
156672,25017.916261656806
157696,9429.281026707835
158720,6490.20469786065
159744,256.9220885854893
160768,298.0421327750141
161792,695.3085983523333
162816,19336.93582041614
163840,17826.17589537903
164864,22730.954585363877
165888,21095.080395077406
166912,17555.770704933093
167936,4820.912570604609
168960,-284.4061672240491
169984,-317.49593736711813
171008,-319.62803578084777
172032,-249.26172106773947
173056,17220.408253947222
174080,10142.45131654768
175104,10837.962110201062
176128,2755.1060853310582
177152,10617.794160745023
178176,2152.277858711012
179200,-70.26390815035484
180224,1190.7257822751399
181248,22359.560361066346
182272,5022.939868826428
183296,21949.1629550118
184320,23273.61105381073
185344,12739.340890447662
186368,5438.136481170746
187392,1381.5480112660412
188416,977.4040159936458
189440,-334.27246860760124
190464,-318.8485332984351
191488,15414.185752675692
192512,19493.024575379342
193536,5236.420017166982
194560,10358.283884115941
195584,494.75231188122734
196608,28192.218850271078
197632,7445.064872615788
198656,-93.69176053421688
199680,-338.7614889709239
200704,26765.917323999256
201728,8134.887680189883
202752,34387.252432431575
203776,21117.79754507509
204800,10619.042699052947
205824,2247.1776572598187
206848,-303.066637880228
207872,14307.804559649561
208896,1510.4015403336093
209920,-341.4003664205725
210944,-322.7603262556404
211968,-310.2257263618685
212992,-304.04989959810337
214016,1218.617541325385
215040,3191.941723990215
216064,-28.184885169901463
217088,770.7870138945091
218112,16452.69508082491
219136,16123.519110594727
220160,1857.1596883971138
221184,-326.2044529628479
222208,11735.600012269779
223232,7373.11736389981
224256,10415.270462533872
225280,12529.850387371778
226304,13283.811231807187
227328,19845.162201766714
228352,18184.989163810398
229376,10541.706072802896
230400,-9.37005086859972
231424,-13.203222718678717
232448,-281.78377035757376
233472,-306.3886421459847
234496,-347.3500748028164
235520,15560.086968813393
236544,24563.32497004531
237568,18996.147950503582
238592,14080.003201895988
239616,19374.796658334886
240640,520.0147264807915
241664,2709.2543205557986
242688,8280.624168040988
243712,1287.4727944527785
244736,6208.1909826176125
245760,15352.972037140957
246784,1280.856372753427
247808,15251.714477560632
248832,31721.988061686785
249856,815.5930289091602
250880,2423.370520452659
251904,10018.320091294681
252928,17102.43499654301
253952,648.1468041328844
